scraping_date,book_title,category,price,rating,instock,availability,UPC,link
2022-12-20,"In a Dark, Dark Wood",Mystery,Â£19.63,1,In stock,18,19ed25f4641d5efd,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
2022-12-20,The Past Never Ends,Mystery,Â£56.50,4,In stock,16,5ee94540d0749ea0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
2022-12-20,A Murder in Time,Mystery,Â£16.64,1,In stock,16,f733e8c19d40ec2e,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
2022-12-20,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,Â£44.10,4,In stock,15,c7b5183f4d1d4efe,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
2022-12-20,The Last Mile (Amos Decker #2),Mystery,Â£54.21,2,In stock,14,3bc89353f7e3a3cc,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
2022-12-20,That Darkness (Gardiner and Renner #1),Mystery,Â£13.92,1,In stock,14,0c7b9cf2b7662b65,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
2022-12-20,Tastes Like Fear (DI Marnie Rome #3),Mystery,Â£10.69,1,In stock,14,2d1e337aaf341858,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
2022-12-20,A Time of Torment (Charlie Parker #14),Mystery,Â£48.35,5,In stock,14,4416c474713ec1f5,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
2022-12-20,A Study in Scarlet (Sherlock Holmes #1),Mystery,Â£16.73,2,In stock,14,63ee5bc46066a8a8,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
2022-12-20,Poisonous (Max Revere Novels #3),Mystery,Â£26.80,3,In stock,12,abdd91e96515a617,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
2022-12-20,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Â£54.36,4,In stock,12,e7fe3bf2768602cf,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
2022-12-20,Most Wanted,Mystery,Â£35.28,3,In stock,12,c039f5aceb093537,https://books.toscrape.com/catalogue/most-wanted_623/index.html
2022-12-20,Hide Away (Eve Duncan #20),Mystery,Â£11.84,1,In stock,12,bddc6fd036eb6279,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
2022-12-20,Boar Island (Anna Pigeon #19),Mystery,Â£59.48,3,In stock,12,49b24c6a41b82bd2,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
2022-12-20,The Widow,Mystery,Â£27.26,2,In stock,11,6159d8b187831770,https://books.toscrape.com/catalogue/the-widow_609/index.html
2022-12-20,Playing with Fire,Mystery,Â£13.71,3,In stock,11,05a61a3bd8ca4149,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
2022-12-20,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,Â£25.37,5,In stock,7,9735c969c652dd89,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
2022-12-20,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,Â£52.30,5,In stock,7,20789fb17b423c4c,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
2022-12-20,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,Â£20.89,4,In stock,7,4e980425468708da,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
2022-12-20,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Â£24.80,4,In stock,6,2da5edf8b5776c9a,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
2022-12-20,In the Woods (Dublin Murder Squad #1),Mystery,Â£38.38,2,In stock,6,6958de044cb28a84,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
2022-12-20,The Silkworm (Cormoran Strike #2),Mystery,Â£23.05,5,In stock,3,f06039c29b5891fa,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
2022-12-20,The Exiled,Mystery,Â£43.45,3,In stock,3,dd003e904727281a,https://books.toscrape.com/catalogue/the-exiled_247/index.html
2022-12-20,The Cuckoo's Calling (Cormoran Strike #1),Mystery,Â£19.21,1,In stock,3,1be6d3b121865edb,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
2022-12-20,Extreme Prey (Lucas Davenport #26),Mystery,Â£25.40,3,In stock,3,588ba85ff11a3263,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
2022-12-20,Career of Evil (Cormoran Strike #3),Mystery,Â£24.72,2,In stock,3,b461cf238506c5b8,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
2022-12-20,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,Â£57.70,4,In stock,1,b0913e67d38d5ed5,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
2022-12-20,The Girl You Lost,Mystery,Â£12.29,5,In stock,1,4280ac3eab57aa5d,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
2022-12-20,The Girl In The Ice (DCI Erika Foster #1),Mystery,Â£15.85,3,In stock,1,ee61197edb882599,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
2022-12-20,Blood Defense (Samantha Brinkman #1),Mystery,Â£20.30,3,In stock,1,95cdfd514098c38b,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
2022-12-20,1st to Die (Women's Murder Club #1),Mystery,Â£53.98,1,In stock,1,f684a82adc49f011,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
2022-12-20,Tipping the Velvet,Historical Fiction,Â£53.74,1,In stock,20,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
2022-12-20,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Â£29.69,3,In stock,16,9beb96a2300109d7,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
2022-12-20,A Flight of Arrows (The Pathfinders #2),Historical Fiction,Â£55.53,5,In stock,16,3a6fb983e2554023,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
2022-12-20,The House by the Lake,Historical Fiction,Â£36.95,1,In stock,15,9287e238d7c3b06e,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
2022-12-20,Mrs. Houdini,Historical Fiction,Â£30.25,5,In stock,15,a40723994f715420,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
2022-12-20,The Marriage of Opposites,Historical Fiction,Â£28.08,4,In stock,14,52cf2a5933ec5d8f,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
2022-12-20,Glory over Everything: Beyond The Kitchen House,Historical Fiction,Â£45.84,3,In stock,14,de4b403cb629a29f,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
2022-12-20,"Love, Lies and Spies",Historical Fiction,Â£20.55,2,In stock,12,9546d537fbf99eb6,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
2022-12-20,A Paris Apartment,Historical Fiction,Â£39.01,4,In stock,12,63343e287971bb0c,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
2022-12-20,Lilac Girls,Historical Fiction,Â£17.28,2,In stock,11,bade9943ee01b63f,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
2022-12-20,The Constant Princess (The Tudor Court #1),Historical Fiction,Â£16.62,3,In stock,7,24933c712f0bca2f,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
2022-12-20,The Invention of Wings,Historical Fiction,Â£37.34,1,In stock,6,e6635f5b0a2c78db,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
2022-12-20,World Without End (The Pillars of the Earth #2),Historical Fiction,Â£32.97,4,In stock,5,2e5b4ff08a75fd02,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
2022-12-20,The Passion of Dolssa,Historical Fiction,Â£28.32,5,In stock,4,011674f4a3834b8d,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
2022-12-20,Girl With a Pearl Earring,Historical Fiction,Â£26.77,1,In stock,4,5eff05e59f905a49,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
2022-12-20,Voyager (Outlander #3),Historical Fiction,Â£21.07,5,In stock,3,7feac4000cbc5859,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
2022-12-20,The Red Tent,Historical Fiction,Â£35.66,5,In stock,3,3c456328b04a8ee8,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
2022-12-20,The Last Painting of Sara de Vos,Historical Fiction,Â£55.55,2,In stock,3,476c7972e9b41891,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
2022-12-20,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,Â£49.53,1,In stock,3,4a0a276409968a73,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
2022-12-20,Girl in the Blue Coat,Historical Fiction,Â£46.83,2,In stock,3,41fc5dce044f16f5,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
2022-12-20,Between Shades of Gray,Historical Fiction,Â£20.79,5,In stock,3,155e42df837ee5ff,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
2022-12-20,While You Were Mine,Historical Fiction,Â£41.32,5,In stock,1,8ceb5c6aed2c5f8b,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
2022-12-20,The Secret Healer,Historical Fiction,Â£34.56,3,In stock,1,38f776ab9118aed7,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
2022-12-20,Starlark,Historical Fiction,Â£25.83,3,In stock,1,e25164e5b3fe208b,https://books.toscrape.com/catalogue/starlark_56/index.html
2022-12-20,Lost Among the Living,Historical Fiction,Â£27.70,4,In stock,1,d510567580c8be52,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
2022-12-20,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,Â£16.97,5,In stock,1,19fec36a1dfb4c16,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
2022-12-20,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Â£52.29,5,In stock,19,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
2022-12-20,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,Â£16.28,1,In stock,16,09555be379ad9253,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
2022-12-20,This One Summer,Sequential Art,Â£19.49,4,In stock,16,51653ef291ab7ddc,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
2022-12-20,The Nameless City (The Nameless City #1),Sequential Art,Â£38.16,4,In stock,16,7d385d34d12e60ff,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
2022-12-20,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Â£51.04,2,In stock,16,53a3d11bb568cc8b,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
2022-12-20,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Â£50.40,3,In stock,16,c82a3e358c773c73,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
2022-12-20,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Â£13.61,5,In stock,16,0fa6dceead7ce47a,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
2022-12-20,"Pop Gun War, Volume 1: Gift",Sequential Art,Â£18.97,1,In stock,16,e80f8e518b300dfe,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
2022-12-20,Patience,Sequential Art,Â£10.16,3,In stock,16,9429b4d59c537af5,https://books.toscrape.com/catalogue/patience_916/index.html
2022-12-20,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Â£15.44,4,In stock,16,889139b8e9c4cb36,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
2022-12-20,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,Â£48.41,1,In stock,16,11809b1d323b3057,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
2022-12-20,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Â£46.91,2,In stock,16,460089f796fb3f82,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
2022-12-20,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Â£45.61,3,In stock,16,b6ee99bcf06fc91f,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
2022-12-20,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Â£19.92,2,In stock,16,57e5a4d515c8ce44,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
2022-12-20,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Â£29.17,2,In stock,16,8d4eefad7a2b3915,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
2022-12-20,I am a Hero Omnibus Volume 1,Sequential Art,Â£54.63,3,In stock,16,1c89ae5bb804e4de,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
2022-12-20,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Â£22.11,2,In stock,16,f2df3bb043a8abb0,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
2022-12-20,Danganronpa Volume 1,Sequential Art,Â£51.99,4,In stock,16,09b6cc87e62c2c58,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
2022-12-20,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,Â£36.72,4,In stock,16,8754c83ab2a7ae71,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
2022-12-20,Camp Midnight,Sequential Art,Â£17.08,4,In stock,16,7b599c8bfcdd8d30,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
2022-12-20,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Â£37.92,2,In stock,16,bdf415fd484ea8a7,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
2022-12-20,The Shadow Hero (The Shadow Hero),Sequential Art,Â£33.14,1,In stock,15,d6361d16212664ed,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
2022-12-20,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,Â£41.62,4,In stock,15,65d034adf80834b7,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
2022-12-20,Batman: The Long Halloween (Batman),Sequential Art,Â£36.50,2,In stock,15,7edc0527cf782e19,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
2022-12-20,Batman: The Dark Knight Returns (Batman),Sequential Art,Â£15.38,5,In stock,15,47271d8e08b5d31c,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
2022-12-20,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,Â£37.34,4,In stock,14,047097293bb4d1c0,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
2022-12-20,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,Â£53.90,1,In stock,14,92275cedf6d8ee15,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
2022-12-20,Through the Woods,Sequential Art,Â£25.38,2,In stock,14,6e44bcbeac7f4360,https://books.toscrape.com/catalogue/through-the-woods_772/index.html
2022-12-20,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,Â£11.89,5,In stock,14,ac8e3949d284e9a9,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
2022-12-20,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,Â£35.43,4,In stock,14,394f6d30cafc3edb,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
2022-12-20,Robin War,Sequential Art,Â£47.82,3,In stock,14,85b2176b3b194030,https://books.toscrape.com/catalogue/robin-war_730/index.html
2022-12-20,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,Â£25.48,2,In stock,14,31e2e2d9cca3778f,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
2022-12-20,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,Â£38.39,2,In stock,14,71e36f33981ddb74,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
2022-12-20,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,Â£51.51,2,In stock,14,a10c7515834240f3,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
2022-12-20,El Deafo,Sequential Art,Â£57.62,5,In stock,14,27c5968fe43cc06e,https://books.toscrape.com/catalogue/el-deafo_691/index.html
2022-12-20,Batman: Europa,Sequential Art,Â£32.01,2,In stock,14,bf68dcb5fad3cc8c,https://books.toscrape.com/catalogue/batman-europa_668/index.html
2022-12-20,Art Ops Vol. 1,Sequential Art,Â£48.80,3,In stock,14,ffdc825785c0ede8,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
2022-12-20,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,Â£10.90,2,In stock,14,5319169a72714c62,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
2022-12-20,"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,Â£33.95,4,In stock,9,97187f5cf0385da3,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
2022-12-20,Roller Girl,Sequential Art,Â£14.10,5,In stock,8,aeb51dfbe8aeec59,https://books.toscrape.com/catalogue/roller-girl_540/index.html
2022-12-20,"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,Â£19.57,1,In stock,7,de6d7645f192d517,https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
2022-12-20,"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,Â£20.96,4,In stock,6,97258f576d4bb672,https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
2022-12-20,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,Â£36.39,3,In stock,6,6e06d0f00f6da20f,https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
2022-12-20,"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,Â£16.33,1,In stock,5,3fd83dcf37bf1bc0,https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
2022-12-20,"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,Â£52.41,1,In stock,5,1c0a38899c82b60a,https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
2022-12-20,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,Â£27.88,2,In stock,4,df53c2948b32bde3,https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
2022-12-20,"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,Â£50.44,4,In stock,4,8fff1084aa085a13,https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
2022-12-20,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,Â£14.41,3,In stock,3,a33ed2e6068df53e,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
2022-12-20,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,Â£55.55,5,In stock,3,91eb9605998a7c03,https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
2022-12-20,"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,Â£21.57,5,In stock,3,7b870bf85d01c2dc,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
2022-12-20,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,Â£43.63,3,In stock,3,9707989a439757b4,https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
2022-12-20,Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,Â£39.13,1,In stock,3,cb62418129b864a3,https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
2022-12-20,Original Fake,Sequential Art,Â£31.45,3,In stock,3,c59283b05905c853,https://books.toscrape.com/catalogue/original-fake_203/index.html
2022-12-20,"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,Â£42.72,1,In stock,3,4f6985aca357ae09,https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
2022-12-20,"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,Â£45.17,2,In stock,3,d5f5a122a593b580,https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
2022-12-20,"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,Â£49.31,1,In stock,3,15f415d436888b2d,https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
2022-12-20,Awkward,Sequential Art,Â£38.02,2,In stock,3,1d89a2aa9f6ce50f,https://books.toscrape.com/catalogue/awkward_124/index.html
2022-12-20,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,Â£54.81,1,In stock,2,276dc716b1da8899,https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
2022-12-20,"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,Â£11.75,3,In stock,2,9189fd009df41d0e,https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
2022-12-20,"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,Â£11.64,5,In stock,2,c0db71f6bb14db11,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
2022-12-20,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,Â£18.51,4,In stock,1,09d26b5f819c6a36,https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
2022-12-20,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,Â£36.52,2,In stock,1,dac9d1e654fac737,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
2022-12-20,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,Â£54.12,3,In stock,1,5faefdc861684eb1,https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
2022-12-20,The Complete Maus (Maus #1-2),Sequential Art,Â£10.64,3,In stock,1,3301af038a720587,https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
2022-12-20,"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,Â£42.12,3,In stock,1,2ac720f76384c57e,https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
2022-12-20,"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,Â£28.48,1,In stock,1,4f64568dfefa3ce7,https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
